Number,Year,Topic,Link PDF,Link Web Page,Title,DOI,Language Page,Authors,Keywords,Summary (in Wix Paragraf row),Copy Banner,Overview/ Gambaran Umum,@
Makalah Kebijakan No. 6,2016/12,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK6,,Dampak Negatif Penetapan RUU Larangan Minuman Beralkohol terhadap Kesehatan dan Keselamatan Masyarakat Indonesia: Sebuah Kajian di Enam Kota,,Indonesia,Rofi Uddarojat,"alkohol, kesehatan masyarakat, RUU, RUU larangan minuman beralkohol","Konsumsi minuman beralkohol dianggap sebagai suatu kegiatan yang membahayakan bagi kesehatan. Kondisi intoksikasi akibat minuman beralkohol (mabuk) dianggap sebagai suatu hal yang buruk dan menjadi sumber penyakit masyarakat. Oleh karena itu, Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) sedang mendiskusikan Rancangan Undang Undang yang bertujuan untuk menghapus produksi, distribusi dan konsumsi minuman beralkohol di sebagian besar wilayah di Indonesia. Namun, larangan ini justru memfasilitasi tumbuhnya pasar gelap. 
 
Kurangnya akses terhadap minuman beralkohol yang legal (recorded alcohol) justru menguatkan keinginan konsumen di Indonesia untuk mendapatkan minuman keras yang lebih kuat dan racikan minuman keras yang sangat berbahaya, yang disebut dengan oplosan. Kajian ini merekomendasikan bahwa tarif impor dan cukai harus diturunkan sehingga minuman beralkohol yang legal dan aman dikonsumsi menjadi lebih terjangkau. Selain itu, konsumen pun dapat terhindar dari dorongan untuk membeli alkohol ilegal yang berbahaya.",,,
Policy Paper No. 6,2016/12,Community Livelihoods,https://cutt.ly/CIPS-PP6,,Negative Effects of the proposed Alcohol Prohibition Bill on Safety and Public Health in Indonesia: Studies in Six Cities,,English,Rofi Uddarojat,"alcohol, public health, bill, alcohol prohibition bill","The Indonesian House of representatives is currently debating on a bill that would prohibit alcohol production, distribution and consumption in Indonesia.  While well intended, this bill would bring with it adverse health effects on public health. In our research, it was discovered that a prohibition on alcohol would result in the growth of the black market especially in areas where partial prohibition is implemented, further more this pushes consumers with limited access to alcohol into wanting stronger spirits or finding other sources of alcoholic beverages such as oplosan.

The current government policy of high excise tax led to increased illegal and unrecorded alcohol consumption. Which is counter productive in its effects. In doing so our research has led to several policy reform recommendations. This includes the lowering of taxes and tariffs to make legal alcohol more affordable, the implantation of mandatory ID checks when buying alcohol, the implementation of strict licensing requirements, and finally public education programmes to educate the public on the dangers of excessive alcohol consumption.
",,,
Makalah Kebijakan No. 7,2016/12,Pendidikan,https://cutt.ly/CIPS-MK7,,Sekolah Swasta Berbiaya Rendah – Studi Kasus di Jakarta,,Indonesia,Muhammad Adi Rahman,"Jakarta, sekolah biaya rendah, sekolah swasta biaya rendah, sekolah swasta","Hadirnya sekolah swasta dengan biaya rendah yang menyediakan akses terhadap pendidikan untuk keluarga berpenghasilan rendah di negara-negara berkembang telah menarik minat penelitian khusus untuk mengukur kehadiran sekolah tersebut di Indonesia. Biaya pendidikan yang terjangkau dan juga kualitas yang memuaskan tentu saja menjadi alternatif yang lebih baik bagi keluarga terpinggirkan untuk mendapatkan akses terhadap pendidikan formal karena inisiatif pemerintah untuk pendidikan kurang berhasil dalam menyediakan pendidikan berkualitas yang terjangkau. 
 
 Makalah ini memaparkan kajian awal mengenai sekolah swasta berbiaya rendah di Indonesia dan mencakup lokasi, biaya, dan kualitas beberapa sekolah tersebut. Melalui makalah ini, pemerintah dianjurkan untuk mendorong pembangunan lebih banyak sekolah swasta berbiaya rendah sehingga sekolah tersebut dapat memberikan dorongan kompetitif bagi sekolah negeri untuk turut meningkatkan kinerja dan efektivitas operasional mereka.",,,
Policy Paper No. 7,2016/12,Education,https://cutt.ly/CIPS-PP7,,Low-cost Private School – Study Case in Jakarta,,English,Muhammad Adi Rahman,"Jakarta, low-cost school, low-cost private school, private school","Low-cost private schools provide accessible education to low-income families in developing countries. In Jakarta, these schools give low income families greater access to education due to the fact that they may be located nearer to the student’s residence, furthermore their inexpensive monthly fees and lower enrollment and graduation requirements allows for a greater number of students to gain an education. 

This ease of accessibility is why a great number of low-income families choose to send their children to these private schools over public schools. Our research has shown that these schools don’t necessarily provide an education that is of lesser quality, as students covered in this study have achieved grades comparable to their public school counterparts. Thus it can be argued that the government should support the creation of more low-cost private schools as a means to create competitive pressure for government schools to increase their performance and their operational efficiency.  ",,,
Makalah Kebijakan No. 8,2017/2,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK8,,Mecegah Banjir dan Tanah Longsor: Studi Kasus Metode Alternatif Pengelolaan Risiko Bencana,,Indonesia,Hizkia Respatiadi,"banjir, tanah longsor, pengelolaan bencana, risiko bencana, dieng, wonosobo, jawa tengah","Banjir dan tanah longsor adalah bencana besar di Kecamatan Kejajar, Kabupaten Wonosobo, Jawa Tengah. Bencana yang terjadi rutin setiap tahun ini telah menyebabkan 35 korban meninggal dunia dan 31 korban luka parah di Wonosobo sejak tahun 2007.
 
 Kajian yang dilakukan oleh pemerintah daerah setempat menunjukkan bahwa para petani kentang secara tidak langsung turut menyebabkan erosi tanah yang memicu terjadinya bencana tersebut. Didorong oleh harganya yang tinggi, petani terus menanam kentang walaupun pendeknya akar tanaman tersebut tidak mampu menstabilkan tanah di lereng pegunungan vulkanik di Kejajar. Makalah ini membahas mengenai sumber penghasilan dan kebijakan alternatif yang dapat dilakukan guna mencegah erosi dan mengurangi risiko bencana banjir dan tanah longsor.",,,
Policy Paper No. 8,2017/2,Community Livelihoods,https://cutt.ly/CIPS-PP8,,"Containing Floods and Landslides Case Study of Alternative Risk Management in Kejajar Sub-District, Wonosobo, Central Java ",,English,Hizkia Respatiadi,"flood, landslide, disaster management, disaster risk, dieng, wonosobo, central java","Floods and landslides are major disasters that occur in the sub-district of Kejajar and the district of Wonosobo. One study concluded that potato farming in the region contributed to soil erosion in the area which triggers flooding and landslides. To prevent such disasters from occurring again, there needs to be a change in the types of crops that are planted by farmers.

Alternative crops such as carica papayas and tamarillo fruit are good alternatives as they have roots that grow deeper into the soil when compared to potatoes. Other recommendations would include the need for the appliance of the central government’s community forestry policy within the region, and finally the need to lift the import restrictions on horticultural products which would lower the price of potatoes and show Indonesia’s commitment to the ASEAN Economic Community.
",,,
Makalah Kebijakan No. 9,2017/6,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK9,,Perlindungan Bagi Petani: Skema Sosial,,Indonesia,"Arianto A. Patunru, Hizkia Respatiadi","petani, pangan, perlindungan sosial, pertanian, kualitas pertanian","Sektor pertanian memperkerjakan lebih dari 50 juta orang yang mencakup 34% dari total jumlah pekerja di Indonesia pada tahun 2014, lebih besar dibandingkan sektor jasa, dan menempati peringkat kedua setelah sektor industri. Sayangnya, sebagian besar dari mereka hidup di bawah garis kemiskinan, atau hanya sedikit di atasnya. Di daerah daerah lumbung padi seperti Indramayu di Jawa Barat, buruh tani yang tidak memiliki lahan hanya berpenghasilan sekitar Rp300.000 per bulan, dan petani kecil berpenghasilan kurang dari Rp600.000 per bulan dari hasil bertani.
 
Terbatasnya peluang kerja di desa, sistem pengairan yang buruk, dan cuaca yang tidak dapat diprediksi turut menciptakan kondisi sulit di pedesaan. Akibatnya, penduduk desa memutuskan untuk berpindah ke kota, sebagaimana ditunjukkan oleh menurunnya persentase populasi desa jika dibandingkan dengan total populasi penduduk di Indonesia, dari 50% pada tahun 2010 menjadi hanya 46% pada tahun 2015. Makalah ini menawarkan tiga kebijakan alternatif untuk menjadi solusi permasalahan ini.",,,
Policy Paper No. 9,2017/6,Food Security & Agriculture,https://cutt.ly/CIPS-PP9,,Protecting the Farmers: Social Scheme,,English,"Arianto A. Patunru, Hizkia Respatiadi","farmers, food, social protection, farm, farm quality","The agriculture sector covers 34% of the total employment in Indonesia. Unfortunately, most people who work in the agriculture sector in Indonesia live below the poverty line or just slightly above it. To address this situation, the government subsidizes the purchase of seeds, fertilizer and rice. However, it has been shown and admitted by the government that such an approach is ineffective.

Possible solutions to improve the welfare of these farmers could include firstly, the reallocation of funds from ineffective subsidies to more targeted programs such as PHK, KIS, and AUTP schemes. Secondly, expanded coverage for these programs to cover those that need them the most, and thirdly, the further development of the state insurance program to help farmers who are at risk of crop/harvest failures. ",,,
Makalah Kebijakan No. 10,2017/8,Pendidikan,https://cutt.ly/CIPS-MK10,,Penyediaan Akses terhadap Pendidikan Berkualitas lewat Sekolah Swasta Berbiaya Rendah,,Indonesia,T Sila Wikaningtyas,"sekolah biaya rendah, sekolah swasta, akses pendidikan, sekolah swasta biaya rendah, koja, jakarta utara","Sekolah swasta mencakup 35% dari keseluruhan sekolah di Indonesia, dan di sejumlah daerah jumlahnya melebihi sekolah negeri. Koja, sebuah wilayah miskin di Jakarta Utara, adalah salah satu daerah tersebut – terdapat 86 sekolah swasta dan 77 sekolah negeri di sana. 51 dari 86 sekolah swasta di Koja adalah sekolah swasta berbiaya rendah, yang menerima anak-anak dari keluarga prasejahtera. Sayangnya, di Indonesia, sektor ini belum mendapatkan perhatian yang layak dari masyarakat. Meskipun sekolah swasta merupakan bagian dari kontribusi masyarakat bagi pendidikan nasional di Indonesia, diskursus nasional akan pendidikan berfokus hampir seluruhnya pada sekolah negeri. 
 
Tahun-tahun belakangan ini, pemerintah meresmikan dua peraturan yang menentukan persyaratan minimum untuk sarana dan prasarana sekolah (Peraturan Kementerian Pendidikan Nasional Nomor 24 Tahun 2007 dan Nomor 40 Tahun 2008). Persyaratan untuk minimal luas lahan dan ukuran bangunan menghambat baik pendirian sekolah swasta berbiaya rendah yang baru maupun perluasan sekolah yang sudah ada, karena keterbatasan lahan yang tersedia di daerah perkotaan yang padat seperti Koja. Persyaratan ini harus dikaji ulang untuk menciptakan lingkungan yang lebih kondusif dalam membantu sekolah-sekolah swasta ini dalam melayani warga miskin.",,,
Policy Paper No. 10,2017/8,Education,https://cutt.ly/CIPS-PP10,,Providing Access to Quality Education through Low Cost Private Schools,,English,T Sila Wikaningtyas,"low-cost school, private school, access to education, low-cost private school, koja, north jakarta","Private schools make up over 35% of all schools in Indonesia, and in some areas they outnumber private schools. Koja, a particularly poor district in North Jakarta, is one of these areas. Between the late 1960s and the 1980s, low-cost private schools flourished in Koja. However in recent years, the number of newly established low-cost schools have declined. This is due to stricter government regulations regarding minimum land size and minimum building size.

These new regulations hinder the ability for new schools to be established, thus creating the environment that is not conducive of helping the poor, thus it is recommended that the government revisit these rules. Furthermore the stereotype that low-cost schools are of low quality are simply not true, as evidence show that low-cost private schools in Koja have been accredited with Grades A and B by the national accreditation agency. Furthermore, to help increase the quality of education received, parents should be more involved and encouraged to participate in the school decision making process.",,,
Makalah Kebijakan No. 11,2017,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK11,,Reformasi Kebijakan Beras: Menghapuskan Pembatasan Perdagangan Beras di Indonesia,,Indonesia,"Hizkia Respatiadi, Hana Nabila","kebijakan beras, perdagangan beras, reformasi kebijakan, penghapusan batasan","Beras adalah makanan pokok sebagian besar penduduk Indonesia. Menurut laporan gabungan Organisasi untuk Kerja Sama Ekonomi dan Pembangunan (OECD) dan Organisasi Pangan dan Pertanian (FAO) Perserikatan Bangsa-Bangsa yang dirilis tahun 2015, konsumsi beras tahunan per kapita Indonesia tercatat mencapai 163 kilogram, lebih tinggi dibandingkan Thailand, Tiongkok, dan India. Sayangnya, harga beras di Indonesia mencapai sekitar dua kali lipat lebih mahal dibandingkan harga internasional pada pada Mei 2017. Penelitian juga menunjukkan bahwa seorang penduduk miskin dengan konsumsi beras rata-rata tahunan dan membeli beras dengan harga rata-rata akan menghabiskan sekitar 47,9% pendapatan bulanan mereka untuk beras.

Bulog adalah satusatunya lembaga yang diberi kewenangan untuk mengimpor beras untuk konsumsi masyarakat umum, sebagaimana yang diatur dalam Permendag 103/2015 Pasal 9 ayat 1.b. Namun importasi beras yang dilakukannya berdasarkan arahan pemerintah justru menimbulkan pemborosan anggaran negara dikarenakan pemerintah kerap mengarahkan Bulog untuk mengimpor beras ketika harga internasional telah naik. Dalam makalah ini, terdapat 3 rekomendasi kebijakan yang dapat memperbaiki situasi tersebut.

",,,
Policy Paper No. 11,2017,Food Security & Agriculture,https://cutt.ly/CIPS-PP11,,Rice Policy Reform: Removing Restrictions on Rice Trade in Indonesia,,English,"Hizkia Respatiadi, Hana Nabila","rice policy, rice trade, policy reform, restriction removal","Rice is the staple food for most Indonesians, with that being said, annually Indonesians consume 45.7 million tons of rice (2015). With rice playing such an important role in the diets of Indonesians, the government has implemented policies that are intended to lower the price of rice. These policies include setting a floor and ceiling limit on the price of rice. However these regulations are ineffective as can be seen by the price of rice in Indonesia when compared with the average global price of rice.

In doing so, we recommend three policy changes, firstly, the government should remove Minister of Trade (MOT) regulation 27/2017 as the price ceiling unfairly places financial burdens on retailers. Secondly, MOT regulation 103/205 article 9 (1.b) which grants Indonesian Bureau of Logistics (BULOG) a monopoly on rice imports should be removed as the government should focus at being a regulator to ensure transparency and fairness in the import process, and thirdly, BULOG should rather focus on disaster relief, preparing, managing and rice distribution in areas that need them the most.",,,
Makalah Kebijakan No. 12,2017/10,Ketahanan Pangan & Agrikultur,https://cutt.ly/CIPS-MK12,,Menghapus Pembatasan Perdagangan untuk Menurunkan Harga Daging Sapi di Indonesia,,Indonesia,"Hizkia Respatiadi, Hana Nabila","reformasi kebijakan, harga daging sapi, pembatasan perdagangan","Harga daging sapi di Indonesia hampir dua kali lipat lebih mahal daripada pasar internasional. Hal ini menjadi tantangan bagi masyarakat pra-sejahtera dan turut menurunkannya konsumsi daging sapi di Indonesia juga menjadi penyebab gizi buruk kronis yang diderita oleh sekitar 29% anak di bawah lima tahun (balita) di Indonesia.

Pemerintah mengklaim bahwa pasokan daging sapi lokal mampu memenuhi sebagian besar permintaan pasar, namun harganya menjadi mahal akibat proses distribusi yang panjang dan rumit. Pemerintah berpandangan bahwa solusinya adalah memotong rantai distribusi dengan cara menyerahkan prosesnya kepada badan-badan pemerintah. Selain itu, pemerintah juga menetapkan Harga Eceran Tertinggi (HET) daging sapi yang berlaku secara nasional. Namun pada prakteknya, pendekatan sentralistik seperti ini sulit diterapkan. 

Makalah ini menyajikan alternatif yang lebih baik dengan memanfaatkan perdagangan internasional melalui daging sapi impor. Daging sapi impor memiliki rantai distribusi yang jauh lebih pendek, dan harga daging sapi di pasar internasional hanya dari harga daging sapi lokal di Indonesia. Untuk mewujudkan hal tersebut, kami merekomendasikan empat perubahan kebijakan ",,,
Policy Paper No. 12,2017/10,Food Security & Agriculture,https://cutt.ly/CIPS-PP12,,Beefing Up the Stock: Policy Reform to Lower Beef Prices in Indonesia,,English,"Hizkia Respatiadi, Hana Nabila","policy reform, beef price, trade barrier","Beef in nearly twice as expensive in Indonesia as in the international market. Due to this, Indonesia’s beef consumption per capita is one of the lowest in the region. Low beef consumption results in 29% of children under the age of 5 to suffer from chronic malnutrition. To solve this issue, the government has proposed shortening the distribution process and implement a price ceiling. 

However, a better alternative would be increasing the amount of imported beef into the country. This is because imported beef has a much shorter distribution chain and is nearly half the price of domestic beef and that this will provide consumers with more affordable sources of beef. In doing so we recommend several regulatory policy changes, these includes the removal of the price ceiling, the simplification of the import licensing proses and the allowance of imported beef to be sold in traditional markets, while revisions should be made to Minister of Trade (MOT) regulation 59/2016 article 9 (1 and 2).
",,,
Makalah Kebijakan No. 13,2018/5,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK13,,Memerangi Alkohol Ilegal,,Indonesia,"Hizkia Respatiadi, Sugianto Tandra","alkohol ilegal, Bandung, kebijakan, prioritas kebijakan","Pada April 2018, seratus penduduk Indonesia tewas karena mengonsumsi alkohol ilegal. Center for Indonesian Policy Studies (CIPS) menemukan bahwa dalam 10 tahun terakhir, korban jiwa akibat konsumsi alkohol ilegal di Bandung Raya hampir 5 kali lebih tinggi daripada wilayah lainnya di Indonesia. 

Sayangnya, peraturan pemerintah tidak efektif dalam melindungi konsumen Indonesia dan justru harus dilihat sebagai faktor yang menyebabkan munculnya pasar gelap. Pemerintah mengendalikan distribusi minuman beralkohol melalui bea impor dan cukai yang tinggi. Semua penjualnya harus memilki izin dan dilarang menjual kepada orang di bawah usia 21 tahun. Peraturan Menteri Perdagangan (Permendag) 06/2015 juga melarang penjualan minuman beralkohol di toko kelontong modern/minimarket maupun toko serba ada/convenience store. 

Untuk itu, makalah ini menawarkan kebijakan alternatif bagi pemerintah untuk menurunkan cukai dan impor sehingga harga alkohol legal lebih terjangkau dan larangan penjualan alkohol di minimarket maupun toko serba ada.",,,
